"Id.zone";"Id.sp";"Nom.sp";"Diam0";"Diam1";"Id.campagne0";"Id.campagne1";"Surface.zone"
"153";"50";"Undetermined";48,70141258612;49,3380323584876;1982;1983;1
"221";"50";"Undetermined";25,4647908947033;25,9422557239789;1982;1983;1
"143";"50";"Undetermined";10,8225361302489;11,4591559026165;1982;1983;1
"124";"50";"Undetermined";17,8253536262923;17,8253536262923;1982;1983;1
"164";"50";"Undetermined";20,0535228295788;20,0535228295788;1982;1983;1
"214";"50";"Undetermined";18,9394382279355;18,9394382279355;1982;1983;1
"233";"50";"Undetermined";31,3535237891034;0;1982;1983;1
"143";"50";"Undetermined";20,3718327157626;20,3718327157626;1982;1983;1
"141";"50";"Undetermined";19,0985931710274;0;1982;1983;1
"141";"50";"Undetermined";15,278874536822;0;1982;1983;1
"142";"50";"Undetermined";15,278874536822;15,5971844230057;1982;1983;1
"111";"50";"Undetermined";25,4647908947033;25,6239458377952;1982;1983;1
"231";"50";"Undetermined";11,7774657888003;11,7774657888003;1982;1983;1
"113";"50";"Undetermined";19,735212943395;19,8943678864869;1982;1983;1
"162";"50";"Undetermined";12,2549306180759;12,4140855611678;1982;1983;1
"143";"50";"Undetermined";20,5309876588545;20,8492975450383;1982;1983;1
"113";"50";"Undetermined";13,2098602766273;13,3690152197192;1982;1983;1
"124";"50";"Undetermined";11,4591559026165;0;1982;1983;1
"114";"50";"Undetermined";25,4647908947033;26,1014106670708;1982;1983;1
"152";"50";"Undetermined";11,1408460164327;10,8225361302489;1982;1983;1
"114";"50";"Undetermined";33,422538049298;33,422538049298;1982;1983;1
"232";"50";"Undetermined";13,687325105903;13,687325105903;1982;1983;1
"122";"50";"Undetermined";10,8225361302489;10,8225361302489;1982;1983;1
"114";"50";"Undetermined";18,7802832848437;18,7802832848437;1982;1983;1
"111";"50";"Undetermined";17,6661986832004;17,6661986832004;1982;1983;1
"123";"50";"Undetermined";20,3718327157626;0;1982;1983;1
"133";"50";"Undetermined";13,687325105903;0;1982;1983;1
"233";"50";"Undetermined";19,4169030572112;19,4169030572112;1982;1983;1
"221";"50";"Undetermined";15,5971844230057;16,0746492522814;1982;1983;1
"141";"50";"Undetermined";14,3239448782706;14,3239448782706;1982;1983;1
"212";"50";"Undetermined";15,278874536822;15,9154943091895;1982;1983;1
"114";"50";"Undetermined";12,7323954473516;12,7323954473516;1982;1983;1
"152";"50";"Undetermined";52,5211312203255;52,5211312203255;1982;1983;1
"113";"50";"Undetermined";56,340849854531;57,2957795130823;1982;1983;1
"143";"50";"Undetermined";10,0267614147894;10,0267614147894;1982;1983;1
"113";"50";"Undetermined";10,5042262440651;10,5042262440651;1982;1983;1
"164";"50";"Undetermined";10,9816910733408;11,1408460164327;1982;1983;1
"131";"50";"Undetermined";10,1859163578813;11,1408460164327;1982;1983;1
"223";"50";"Undetermined";21,9633821466816;0;1982;1983;1
"233";"50";"Undetermined";10,8225361302489;10,8225361302489;1982;1983;1
"114";"50";"Undetermined";17,8253536262923;17,8253536262923;1982;1983;1
"111";"50";"Undetermined";21,6450722604978;21,6450722604978;1982;1983;1
"231";"50";"Undetermined";11,9366207318922;11,9366207318922;1982;1983;1
"121";"50";"Undetermined";25,1464810085195;25,1464810085195;1982;1983;1
"223";"50";"Undetermined";25,4647908947033;25,4647908947033;1982;1983;1
"143";"50";"Undetermined";11,3000009595246;11,3000009595246;1982;1983;1
"113";"50";"Undetermined";15,9154943091895;0;1982;1983;1
"131";"50";"Undetermined";13,687325105903;13,687325105903;1982;1983;1
"161";"50";"Undetermined";21,9633821466816;21,9633821466816;1982;1983;1
"121";"50";"Undetermined";16,0746492522814;16,0746492522814;1982;1983;1
"142";"50";"Undetermined";16,5521140815571;16,5521140815571;1982;1983;1
"141";"50";"Undetermined";12,095775674984;12,095775674984;1982;1983;1
"144";"50";"Undetermined";14,9605646506382;14,9605646506382;1982;1983;1
"111";"50";"Undetermined";11,6183108457084;11,6183108457084;1982;1983;1
"142";"50";"Undetermined";39,7887357729738;41,3802852038928;1982;1983;1
"143";"50";"Undetermined";36,446481968044;36,446481968044;1982;1983;1
